output_frame,source_rgb_frame,mapping_kind,derived_color_device_timestamp_us,cmm_fractional_frame_counter,lower_camera_timecode_id,upper_camera_timecode_id,nearest_anchor_alignment_error_ms,camera_glove_valid
0,0,camera_timecode_anchor,1788012770764807.000,274504.228442,1,1,1.903684,0
1,1,timestamp_inferred,1788012770798231.250,274507.516011,1,2,1.903684,0
2,2,timestamp_inferred,1788012770831655.750,274510.803580,1,2,0.759580,0
3,3,camera_timecode_anchor,1788012770865080.000,274514.091150,2,2,0.759580,0
4,4,timestamp_inferred,1788012770898503.000,274518.356094,2,3,0.759580,0
5,5,camera_timecode_anchor,1788012770931926.000,274522.621039,3,3,-3.158005,1
6,6,timestamp_inferred,1788012770965351.500,274527.047630,3,4,-3.158005,1
7,7,camera_timecode_anchor,1788012770998777.000,274531.474221,4,4,-4.381495,1
8,8,timestamp_inferred,1788012771032200.000,274535.547190,4,5,-4.381495,1
9,9,camera_timecode_anchor,1788012771065623.000,274539.620160,5,5,-3.165330,1
10,10,timestamp_inferred,1788012771099048.000,274543.746035,5,6,-3.165330,1
11,11,camera_timecode_anchor,1788012771132473.000,274547.871910,6,6,-1.067415,0
12,12,timestamp_inferred,1788012771165896.500,274551.929103,6,7,-1.067415,0
13,13,camera_timecode_anchor,1788012771199320.000,274555.986295,7,7,-0.114209,1
14,14,timestamp_inferred,1788012771232741.000,274560.103942,7,8,-0.114209,1
15,15,camera_timecode_anchor,1788012771266162.000,274564.221589,8,8,1.846572,1
16,16,timestamp_inferred,1788012771299585.000,274568.264493,8,9,1.846572,1
17,17,camera_timecode_anchor,1788012771333008.000,274572.307397,9,9,2.561641,1
18,18,timestamp_inferred,1788012771366430.500,274576.367078,9,10,2.561641,1
19,19,camera_timecode_anchor,1788012771399853.000,274580.426759,10,10,3.556325,1
20,20,timestamp_inferred,1788012771433273.500,274584.566679,10,11,3.556325,1
21,21,camera_timecode_anchor,1788012771466694.000,274588.706600,11,11,-2.445004,0
22,22,timestamp_inferred,1788012771500120.500,274592.699586,11,12,-2.445004,0
23,23,camera_timecode_anchor,1788012771533547.000,274596.692572,12,12,-2.561903,1
24,24,timestamp_inferred,1788012771566970.500,274600.849456,12,13,-2.561903,1
25,25,camera_timecode_anchor,1788012771600394.000,274605.006340,13,13,0.052831,1
26,26,timestamp_inferred,1788012771633818.250,274607.758394,13,14,0.052831,1
27,27,timestamp_inferred,1788012771667242.750,274610.510448,13,14,2.187523,1
28,28,camera_timecode_anchor,1788012771700667.000,274613.262503,14,14,2.187523,1
29,29,timestamp_inferred,1788012771734092.000,274617.367382,14,15,2.187523,1
30,30,camera_timecode_anchor,1788012771767517.000,274621.472262,15,15,-4.397820,0
31,31,timestamp_inferred,1788012771800940.000,274625.605909,15,16,-4.397820,0
32,32,camera_timecode_anchor,1788012771834363.000,274629.739557,16,16,-2.170356,1
33,33,timestamp_inferred,1788012771867789.500,274633.821663,16,17,-2.170356,1
34,34,camera_timecode_anchor,1788012771901216.000,274637.903769,17,17,-0.801927,0
35,35,timestamp_inferred,1788012771934641.000,274641.975084,17,18,-0.801927,0
36,36,camera_timecode_anchor,1788012771968066.000,274646.046399,18,18,0.386658,1
37,37,timestamp_inferred,1788012772001492.500,274650.226070,18,19,0.386658,1
38,38,camera_timecode_anchor,1788012772034919.000,274654.405741,19,19,3.381172,1
39,39,timestamp_inferred,1788012772068344.500,274658.502428,19,20,3.381172,1
40,40,camera_timecode_anchor,1788012772101770.000,274662.599114,20,20,-3.340713,1
41,41,timestamp_inferred,1788012772135196.000,274666.710558,20,21,-3.340713,1
42,42,camera_timecode_anchor,1788012772168622.000,274670.822002,21,21,-1.483319,1
43,43,timestamp_inferred,1788012772202049.000,274674.720250,21,22,-1.483319,1
44,44,camera_timecode_anchor,1788012772235476.000,274678.618499,22,22,-3.179175,0
45,45,timestamp_inferred,1788012772268901.500,274682.683701,22,23,-3.179175,0
46,46,camera_timecode_anchor,1788012772302327.000,274686.748903,23,23,-2.092471,1
47,47,timestamp_inferred,1788012772335748.000,274690.854738,23,24,-2.092471,1
48,48,camera_timecode_anchor,1788012772369169.000,274694.960574,24,24,-0.328554,0
49,49,timestamp_inferred,1788012772402596.500,274699.064142,24,25,-0.328554,0
50,50,camera_timecode_anchor,1788012772436024.000,274703.167711,25,25,1.397593,1
51,51,timestamp_inferred,1788012772469446.500,274707.241684,25,26,1.397593,1
52,52,camera_timecode_anchor,1788012772502869.000,274711.315656,26,26,2.630468,0
53,53,timestamp_inferred,1788012772536293.500,274715.418592,26,27,2.630468,0
54,54,camera_timecode_anchor,1788012772569718.000,274719.521529,27,27,-3.987261,1
55,55,timestamp_inferred,1788012772603140.500,274723.593029,27,28,-3.987261,1
56,56,camera_timecode_anchor,1788012772636563.000,274727.664530,28,28,-2.795585,1
57,57,timestamp_inferred,1788012772669989.000,274731.678515,28,29,-2.795585,1
