schema,take_key,segment,output_frame,source_video_frame,rgb_device_timestamp_us,cmavatar_target_timestamp_ns,mocap_low_frame_counter,mocap_high_frame_counter,interpolation_alpha,alignment_row_sha256,candidate_translation_world_x_mm,candidate_translation_world_y_mm,candidate_translation_world_z_mm,rear_proxy_formula,rear_proxy_modifies_delivered_joints,raw_left_root_x,raw_left_root_y,raw_right_root_x,raw_right_root_y,rear_proxy_left_world_x_mm,rear_proxy_left_world_y_mm,rear_proxy_left_world_z_mm,rear_proxy_right_world_x_mm,rear_proxy_right_world_y_mm,rear_proxy_right_world_z_mm,rear_proxy_left_x,rear_proxy_left_y,rear_proxy_right_x,rear_proxy_right_y,z37_left_root_x,z37_left_root_y,z37_right_root_x,z37_right_root_y,pair_image,automated_evidence_not_subjective_pixel_gt,z37_is_2d_counterexample_not_recommended_global_fix
gt_calib.mocap_wrist_semantics_audit_frame.v1,01,01_210814_Take_000,105,165,1788008899954139,1788008900318903808,392370,392371,0.15413006780921862,344f9771f3f01b5fd8b24781523387ad0a6e715cd65641a6c0d9205647b8d2a7,0.0,0.0,37.0,wrist - 0.8 * (middle_mcp - wrist),false,1327.346433109271,631.5944457424324,728.4134388830653,613.4560622352394,-254.25134766387228,128.36109349660956,242.42655201854026,139.59793613344397,118.00934794426487,262.21639086149185,1307.1218358571582,568.2871111511962,737.0586112588327,556.5236243237508,1330.2746452623335,576.9125505689233,720.4551482911098,561.3693133333636,01_output0105_source0165_raw-rearproxy-z37.png,true,true
gt_calib.mocap_wrist_semantics_audit_frame.v1,01,01_210814_Take_000,314,374,1788008906941310,1788008907306308864,393208,393209,0.6609728183118742,b327edf2453fdf2ea076f52b562ff15b8bf94957b0fe3cc5e33ab66d0f3c871e,0.0,0.0,37.0,wrist - 0.8 * (middle_mcp - wrist),false,1337.538424768836,616.813308349445,714.4445411147173,608.7346258850322,-254.68998575107298,130.1880997596566,250.56723251502146,142.34194683834053,123.36892494420603,266.9395316280401,1308.9349713435188,558.0407756178887,730.3911575178581,553.27372176484,1340.7232178688523,561.3095093264606,706.135864779999,556.0093366426029,01_output0314_source0374_raw-rearproxy-z37.png,true,true
gt_calib.mocap_wrist_semantics_audit_frame.v1,01,01_210814_Take_000,524,584,1788008913961549,1788008914326783488,394051,394052,0.1361659513590844,ad725823e26f87b41e7c409e14d644fa310c0737f79e434eba3878f44200f723,0.0,0.0,37.0,wrist - 0.8 * (middle_mcp - wrist),false,1333.6592289202572,617.6541593886725,725.150599183524,630.8015012787454,-256.3543902317597,139.5111379055794,268.0726359313305,139.73225466666665,130.63911201144492,267.5399136194564,1315.9255977531607,538.4582773958897,731.2449718261564,556.193904577885,1336.784291800147,561.8692993099897,717.108074063854,578.7079644106191,01_output0524_source0584_raw-rearproxy-z37.png,true,true
gt_calib.mocap_wrist_semantics_audit_frame.v1,01,01_210814_Take_000,734,794,1788008920981851,1788008921347321600,394893,394894,0.6190244600200258,6768c5b2e6e60bcfcdfb8ad4d9b4f40d0850f4a759aab7690f11e30b25d45025,0.0,0.0,37.0,wrist - 0.8 * (middle_mcp - wrist),false,1331.8517367788197,626.9732872245056,716.0485630018172,615.1779298407653,-257.38298097554,121.67198622800737,244.4986587955943,146.8055432184237,117.32074749821197,268.85925305678734,1309.845668997196,561.5154304931752,726.044374539158,547.8268834418762,1334.8465203973,572.7171910335363,707.9140691496046,563.4237463943381,01_output0734_source0794_raw-rearproxy-z37.png,true,true
gt_calib.mocap_wrist_semantics_audit_frame.v1,01,01_210814_Take_000,943,1003,1788008927969252,1788008928334957312,395732,395733,0.15353361945636623,854f3be67fe9dc73922ca80f6aa0430fe15d334356b737800234fc1a189d8bfa,0.0,0.0,37.0,wrist - 0.8 * (middle_mcp - wrist),false,1333.613692607942,606.8914988694482,713.5222049356646,601.3750188896872,-257.34615697854076,126.21379837482114,258.1786969957081,146.01915858082972,120.90792688984264,276.3538212989985,1312.2205392941296,545.1122015423545,724.3007258801724,539.7170258890969,1336.7302136352585,551.4262494971879,705.2170929950786,548.7156007231494,01_output0943_source1003_raw-rearproxy-z37.png,true,true
gt_calib.mocap_wrist_semantics_audit_frame.v1,01,01_210814_Take_000,1153,1213,1788008934990134,1788008935356074496,396574,396575,0.7059799713876967,a1e097a1fd8cb5b726312cb7f14807acba4db5a1b156c374f83c8a3b93b7a826,0.0,0.0,37.0,wrist - 0.8 * (middle_mcp - wrist),false,1350.7429590176348,602.6244957144563,713.1629867325458,596.3838234680361,-275.2931574706723,117.07327575393418,243.60502259227465,153.41193056366237,116.75107209155938,272.1189239256081,1335.5430648347062,559.2559001367273,716.4664796442325,543.5945307214072,1354.1692289833643,547.5377766260217,704.8768683121891,543.8424688686473,01_output1153_source1213_raw-rearproxy-z37.png,true,true
gt_calib.mocap_wrist_semantics_audit_frame.v1,01,01_210814_Take_000,1363,1423,1788008942010481,1788008942376657152,397417,397418,0.19415753483448256,8e98da6f63ace83c77f6dbd248f3965914987a36977a4b998cca9148bcb8fb9f,0.0,0.0,37.0,wrist - 0.8 * (middle_mcp - wrist),false,1343.3997795698554,589.2103493016667,698.0487020617388,596.1071728923358,-255.77427217533116,131.82698624932044,282.0408113301479,150.24697875883382,128.6509742096078,292.62466833567,1313.3494022941297,514.4297354336496,712.0246086836821,521.9835377565175,1346.772471615361,532.9044729993675,689.3822322577687,542.9448806086411,01_output1363_source1423_raw-rearproxy-z37.png,true,true
gt_calib.mocap_wrist_semantics_audit_frame.v1,01,01_210814_Take_000,1572,1632,1788008948997668,1788008949364078848,398255,398256,0.7029841778489886,3fb2844b9e94b1839d077b839bc3805d11f5d532bbd299b3582ebf3e01824283,0.0,0.0,37.0,wrist - 0.8 * (middle_mcp - wrist),false,1321.5824545458295,605.6288624093263,723.189311290329,598.7506481321595,-256.78028407770876,113.70193462847985,247.77771644302024,149.98057168035248,105.56212365311437,261.12720204285995,1306.5346558306564,552.6903362753865,727.5125814724654,552.02114177811,1324.416378920233,551.1506005007199,715.2223687685954,547.0965558538126,01_output1572_source1632_raw-rearproxy-z37.png,true,true
gt_calib.mocap_wrist_semantics_audit_frame.v1,02,02_210955_Take_001,108,108,1788008999210318,1788008999578439936,404281,404282,0.5626323319027182,5ed5f774430bbdd1cd11f6cbe23d3575fda3352abfb1377589051026819d33f4,0.0,0.0,37.0,wrist - 0.8 * (middle_mcp - wrist),false,1366.626305391339,571.9440670950157,708.8312101868898,579.0096651135258,-278.77754559084406,127.2827970701002,276.720390260372,154.74742635765375,113.43633080400572,287.207820783977,1347.4883552893752,518.2855963642193,712.7956247278759,522.0270949397884,1370.525694559368,514.7596181937611,700.4403978533039,526.1608902009662,02_output0108_source0108_raw-rearproxy-z37.png,true,true
gt_calib.mocap_wrist_semantics_audit_frame.v1,02,02_210955_Take_001,325,325,1788009006465082,1788009006833446400,405152,405153,0.18183118741058654,541879a2813fea32527b447cc6297b3c431f782bb4105a8bbbbbd2df21f62f75,0.0,0.0,37.0,wrist - 0.8 * (middle_mcp - wrist),false,1382.7776189091467,555.2275833175374,710.9352746632508,577.0122443327491,-285.08467327610873,142.8889453218884,313.8101452360515,146.63981796852642,134.57627313304727,314.0932920171674,1367.5074638935764,471.2306605178131,710.2124651569322,495.07146810066024,1387.1085848485013,496.6772064785691,702.4124516462857,523.0686274276242,02_output0325_source0325_raw-rearproxy-z37.png,true,true
