output_frame,source_depth_frame,bag_message_timestamp_ns,depth_device_timestamp_us,depth_frame_number,source_bag_elapsed_s,matched_clip_bag_elapsed_s,same_index_rgb_device_timestamp_us,depth_minus_rgb_device_timestamp_ms,cmavatar_target_timestamp_ns,mocap_low_frame_counter,mocap_high_frame_counter,mocap_low_timestamp_ns,mocap_high_timestamp_ns,interpolation_alpha,bracket_span_ms,nearest_mocap_sample_delta_ms,raw_valid_pixel_fraction,projected_joint_inside_count,projected_joint_nonzero_depth_count,left_wrist_depth_x,left_wrist_depth_y,left_wrist_inside_frame,right_wrist_depth_x,right_wrist_depth_y,right_wrist_inside_frame
0,60,1788008896445081949,1788008896445082,127845,2.0059657096862793,0.0,1788008896443770,1.312017,1788008896809728256,391949,391950,1788008896809362688,1788008896817696512,0.043856386783006726,8.333921432495117,0.3654956817626953,0.6175211588541667,42,38,506.880228392847,306.356037759452,1,252.30125003969198,301.85593301771553,1
1,61,1788008896478517056,1788008896478517,127846,2.039400815963745,0.03343510627746582,1788008896477200,1.317025,1788008896843164416,391953,391954,1788008896842695936,1788008896851028992,0.05622156733712912,8.332967758178711,0.4684925079345703,0.6201171875,42,39,506.79595519894883,306.5642046670829,1,252.15276740562302,301.7328925648238,1
2,62,1788008896511950016,1788008896511950,127847,2.072834014892578,0.06686830520629883,1788008896510637,1.312971,1788008896876598784,391957,391958,1788008896876027392,1788008896884360192,0.06858369098712447,8.33272933959961,0.5714893341064453,0.6202799479166666,42,40,506.6645899464115,306.54819022320163,1,252.04459890204208,301.4934767815322,1
3,63,1788008896545383930,1788008896545384,127848,2.1062676906585693,0.10030198097229004,1788008896544074,1.309871,1788008896910033664,391961,391962,1788008896909359616,1788008896917693440,0.08087772501001315,8.333683013916016,0.6740093231201172,0.618359375,42,39,506.64886090714003,306.5065393958864,1,251.96755200350458,301.6207155376619,1
4,64,1788008896578818083,1788008896578818,127849,2.1397018432617188,0.13373613357543945,1788008896577504,1.314163,1788008896943469056,391965,391966,1788008896942692864,1788008896951025664,0.09315899402019971,8.332967758178711,0.7762908935546875,0.6180121527777778,42,38,506.60003446763056,306.58371334021086,1,251.97954768283438,301.81520403146163,1
5,65,1788008896612250090,1788008896612250,127850,2.1731340885162354,0.16716837882995605,1788008896610941,1.309157,1788008896976902400,391969,391970,1788008896976025088,1788008896984358912,0.10527821484766128,8.333921432495117,0.87738037109375,0.6194173177083333,42,39,506.4066145324498,306.5321009572292,1,252.1009673277746,302.2244291435232,1
6,66,1788008896645678997,1788008896645679,127851,2.2065629959106445,0.20059728622436523,1788008896644371,1.307964,1788008897010332672,391973,391974,1788008897009358336,1788008897017691136,0.1169098712446352,8.33272933959961,0.9741783142089844,0.6181179470486111,42,37,506.65356378556953,306.6286498332527,1,252.1928801646265,302.01338980873743,1
7,67,1788008896679107904,1788008896679108,127852,2.2399916648864746,0.2340259552001953,1788008896677801,1.30701,1788008897043762176,391977,391978,1788008897042690816,1788008897051023360,0.12858369098712447,8.33272933959961,1.0714530944824219,0.6178466796875,42,38,507.05784082873805,306.61280350530825,1,252.25569804840387,301.83867398118275,1
8,68,1788008896712542057,1788008896712542,127853,2.273425817489624,0.2674601078033447,1788008896711230,1.312017,1788008897077197568,391981,391982,1788008897076022784,1788008897084356864,0.1409526534115291,8.333921432495117,1.1746883392333984,0.6172526041666667,42,36,507.3250621323014,306.4138254685638,1,252.39601104230127,301.62507294941895,1
9,69,1788008896745975018,1788008896745975,127854,2.306859016418457,0.30089330673217773,1788008896744668,1.307011,1788008897110631936,391985,391986,1788008897109356288,1788008897117689088,0.15310005436182084,8.332967758178711,1.275777816772461,0.6173936631944444,42,37,507.360404520301,306.3584147655798,1,252.60323085653488,301.5831217084258,1
10,70,1788008896779407024,1788008896779407,127855,2.3402910232543945,0.33432531356811523,1788008896778097,1.31011,1788008897144065024,391989,391990,1788008897142688512,1788008897151021312,0.1652074391988555,8.33272933959961,1.3766288757324219,0.6150227864583333,42,35,507.56874684122187,306.4335802653833,1,252.67701968944397,301.30081371018366,1
11,71,1788008896812839031,1788008896812839,127856,2.373722791671753,0.36775708198547363,1788008896811527,1.312017,1788008897177498112,391993,391994,1788008897176020736,1788008897184354560,0.17726154374320535,8.333683013916016,1.4772415161132812,0.6161756727430555,42,34,507.71903570555787,306.42677382773866,1,252.67795420382834,301.13261889008464,1
12,72,1788008896846271038,1788008896846271,127857,2.4071547985076904,0.40118908882141113,1788008896844964,1.307011,1788008897210931200,391997,391998,1788008897209354240,1788008897217686784,0.1892703862660944,8.33272933959961,1.577138900756836,0.6137722439236111,42,35,507.7377730216954,306.3423131102527,1,252.71186493817083,301.0151867935515,1
13,73,1788008896879703045,1788008896879703,127858,2.440586805343628,0.43462109565734863,1788008896878392,1.311064,1788008897244364288,392001,392002,1788008897242686208,1788008897251019264,0.20136762896626706,8.332967758178711,1.6779899597167969,0.6148654513888889,42,34,507.82346158463076,306.11830583577307,1,252.7589402241146,300.9506628292685,1
