output_frame,source_video_frame,source_video_nominal_pts_s,source_bag_elapsed_s,matched_clip_bag_elapsed_s,rgb_device_timestamp_us,cmavatar_target_timestamp_ns,mocap_low_frame_counter,mocap_high_frame_counter,mocap_low_timestamp_ns,mocap_high_timestamp_ns,interpolation_alpha,bracket_span_ms,nearest_mocap_sample_delta_ms,left_wrist_rgb_x,left_wrist_rgb_y,left_wrist_inside_frame,right_wrist_rgb_x,right_wrist_rgb_y,right_wrist_inside_frame
0,0,0.0,0.0,0.0,1788008995599487,1788008995967488000,403848,403849,1788008995965494016,1788008995973826560,0.23931330472103005,8.33272933959961,1.9941329956054688,1359.7817934786547,559.8125042860471,1,717.2419004042372,580.3436962432207,1
1,1,0.03333333333333333,0.033432960510253906,0.033432960510253906,1788008995632920,1788008996000922112,403852,403853,1788008995998826240,1788008996007160064,0.2515019740230017,8.333683013916016,2.095937728881836,1359.8258415577632,559.769186206221,1,716.7838640187293,580.1832561643098,1
2,2,0.06666666666666667,0.06686186790466309,0.06686186790466309,1788008995666349,1788008996034352384,403856,403857,1788008996032159488,1788008996040492288,0.2631473533619456,8.33272933959961,2.1927356719970703,1360.0082308805117,559.7765744560337,1,716.4053718929246,580.0344375720391,1
3,3,0.1,0.10028982162475586,0.10028982162475586,1788008995699777,1788008996067781376,403860,403861,1788008996065491712,1788008996073824768,0.2747846985780092,8.332967758178711,2.2897720336914062,1360.1316989722827,559.7039882521401,1,716.0315944381848,579.7946452346912,1
4,4,0.13333333333333333,0.13371896743774414,0.13371896743774414,1788008995733206,1788008996101211648,403864,403865,1788008996098823936,1788008996107158016,0.28648262051208695,8.333921432495117,2.387523651123047,1360.3004016930793,559.8055683124974,1,715.7906304061542,579.611184638504,1
5,5,0.16666666666666666,0.16715788841247559,0.16715788841247559,1788008995766645,1788008996134651648,403868,403869,1788008996132157440,1788008996140490240,0.2993333524076564,8.332967758178711,2.494335174560547,1360.3463260135636,559.6273144429211,1,715.6471492769724,579.3870780888666,1
6,6,0.2,0.20059490203857422,0.20059490203857422,1788008995800082,1788008996168089856,403872,403873,1788008996165489664,1788008996173822464,0.31204577968526465,8.33272933959961,2.6001930236816406,1360.4043713078252,559.702628999746,1,715.5184847969724,579.1962643771052,1
7,7,0.23333333333333334,0.23403096199035645,0.23403096199035645,1788008995833518,1788008996201527040,403876,403877,1788008996198822144,1788008996207155712,0.32459804314241575,8.333683013916016,2.705097198486328,1360.464914060201,559.9587921128744,1,715.3677871116734,578.9703094632924,1
8,8,0.26666666666666666,0.2674689292907715,0.2674689292907715,1788008995866956,1788008996234966272,403880,403881,1788008996232155392,1788008996240487936,0.3373390557939914,8.33272933959961,2.810955047607422,1360.3930924083056,560.0478135770439,1,715.1642928669805,578.7798309526497,1
9,9,0.3,0.30089902877807617,0.30089902877807617,1788008995900386,1788008996268397568,403884,403885,1788008996265487616,1788008996273820416,0.3492131616595136,8.33272933959961,2.9098987579345703,1360.2909797686102,560.3193372861216,1,714.9913351515728,578.586277399966,1
10,10,0.3333333333333333,0.3343348503112793,0.3343348503112793,1788008995933822,1788008996301834496,403888,403889,1788008996298819840,1788008996307153664,0.3617508224860535,8.333921432495117,3.014802932739258,1360.1864753638406,560.3353736815646,1,714.8455022394116,578.4912429436431,1
11,11,0.36666666666666664,0.3677709102630615,0.3677709102630615,1788008995967258,1788008996335271936,403892,403893,1788008996332153088,1788008996340486144,0.3742668307058453,8.332967758178711,3.118753433227539,1360.1874944648075,560.3991057740401,1,714.700400859442,578.412620766299,1
12,12,0.4,0.40120887756347656,0.40120887756347656,1788008996000696,1788008996368710912,403896,403897,1788008996365485312,1788008996373819392,0.38704048061793733,8.333921432495117,3.225564956665039,1360.134390181219,560.4176796116967,1,714.5868862304887,578.516911387939,1
13,13,0.43333333333333335,0.4346449375152588,0.4346449375152588,1788008996034132,1788008996402148352,403900,403901,1788008996398818816,1788008996407151360,0.39957081545064377,8.33272933959961,3.3295154571533203,1360.0937190795123,560.443577024994,1,714.533919460498,578.7549125394686,1
14,14,0.4666666666666667,0.4680769443511963,0.4680769443511963,1788008996067564,1788008996435581184,403904,403905,1788008996432151040,1788008996440483840,0.41164520743919886,8.33272933959961,3.4301280975341797,1360.1110703658749,560.3583299628809,1,714.4686345414165,579.152329901077,1
15,15,0.5,0.5015139579772949,0.5015139579772949,1788008996101001,1788008996469019392,403908,403909,1788008996465483520,1788008996473817088,0.4243005092407164,8.333683013916016,3.5359859466552734,1360.105816107017,560.3477292430707,1,714.4906503983361,579.673461656743,1
16,16,0.5333333333333333,0.5349509716033936,0.5349509716033936,1788008996134438,1788008996502457344,403912,403913,1788008996498816768,1788008996507149568,0.4369098712446352,8.33272933959961,3.6406517028808594,1360.24306484099,560.4220848403688,1,714.5220077496449,580.1736614440867,1
17,17,0.5666666666666667,0.5683879852294922,0.5683879852294922,1788008996167875,1788008996535895552,403916,403917,1788008996532148736,1788008996540481792,0.44962948127378327,8.332967758178711,3.7467479705810547,1360.4525419955758,560.8240624703706,1,714.5435278300545,580.5762225793941,1
18,18,0.6,0.6018168926239014,0.6018168926239014,1788008996201304,1788008996569325568,403920,403921,1788008996565481216,1788008996573815040,0.46130739522242886,8.333921432495117,3.8444995880126953,1360.6799626143297,561.5892188109161,1,714.6163672150753,580.9589180338372,1
19,19,0.6333333333333333,0.6352529525756836,0.6352529525756836,1788008996234740,1788008996602763264,403924,403925,1788008996598814464,1788008996607147520,0.47386340877228117,8.332967758178711,3.948688507080078,1360.7540721815421,561.9402217732418,1,714.677083432833,581.3285080227179,1
20,20,0.6666666666666666,0.6686899662017822,0.6686899662017822,1788008996268177,1788008996636201216,403928,403929,1788008996632146944,1788008996640479488,0.486552217453505,8.33272933959961,4.05430793762207,1360.8472335598233,561.9724771892911,1,714.7296047110747,581.7813752118735,1
21,21,0.7,0.7021269798278809,0.7021269798278809,1788008996301614,1788008996669639424,403932,403933,1788008996665479168,1788008996673812992,0.49919894718773244,8.333683013916016,4.160165786743164,1361.1283803462852,562.0679814631912,1,714.8709135437213,582.2352051682963,1
